photo_filename,party,election_count,photo_url,gender,unit,monaCd,committees,region,rownum,unitCd,election_method,name
김미애.png,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/c1a5f2ce1f3c439cbe027e15722925f9.png,,제22대,33,,,,100022,,김미애
김민석.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/fee10a80d81d435885696adb29a6eb41.jpg,,제22대,34,,,,100022,,김민석
김민전.jpg,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/d856bf1d1b14476f84af3c07c1ea864e.jpg,,제22대,35,,,,100022,,김민전
김병기.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/c159f6cf2cdb4d418aeeb1849066a508.jpg,,제22대,36,,,,100022,,김병기
김병주.png,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/3d7108cf7a784f6ea042610f61c3e916.png,,제22대,37,,,,100022,,김병주
김상욱.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/e6e84b1e51d84bbbbcdaaf0884838479.jpg,,제22대,38,,,,100022,,김상욱
김상훈.jpg,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/3c232b2892bb448f8d66df3661218621.jpg,,제22대,39,,,,100022,,김상훈
김석기.jpg,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/e5a17e900d0e433bb13e351466729064.jpg,,제22대,40,,,,100022,,김석기
김선교.jpg,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/c46ff6eaebc3441393b42d4e36d7a8c6.jpg,,제22대,41,,,,100022,,김선교
김선민.jpg,조국혁신당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/ae483328582e4add9e57312dfdd896a0.jpg,,제22대,42,,,,100022,,김선민
김성원.jpg,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/0883fdfd169248c19f2311f26e1c2577.jpg,,제22대,43,,,,100022,,김성원
김성환.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/6785f4855ad44486979a01c25c6939ca.jpg,,제22대,44,,,,100022,,김성환
김성회.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/b263e390ed2a4a4ea6e789d7447c6093.jpg,,제22대,45,,,,100022,,김성회
김소희.png,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/83b1ec78867e41e39d20d41d3a796f83.png,,제22대,46,,,,100022,,김소희
김승수.jpg,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/ed6fa85a063842c59f5cfc4cca90eafb.jpg,,제22대,47,,,,100022,,김승수
김승원.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/06249610045b4c5487f9586046460423.jpg,,제22대,48,,,,100022,,김승원
김영배.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/c0f3221352c04fc1bb9b67d8342c75ff.jpg,,제22대,49,,,,100022,,김영배
김영진.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/4a532fc2b0bf46fd81d7d51ea73c61be.jpg,,제22대,50,,,,100022,,김영진
김영호.png,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/3567968cbf624c2a93cc299e39bee78f.png,,제22대,51,,,,100022,,김영호
김영환.png,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/8d40913b87064f63bc8f988579103d76.png,,제22대,52,,,,100022,,김영환
김예지.jpg,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/61dedb2de45941fcb00c98ab36eedaac.jpg,,제22대,53,,,,100022,,김예지
김용만.png,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/06d58e54e7724b3a81f1a82eff0a40af.png,,제22대,54,,,,100022,,김용만
김용민.png,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/e8f8918e741b4ae9b72377d8ec299645.png,,제22대,55,,,,100022,,김용민
김용태.jpg,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/ef99cb0a6cee471bb9769a46bc62c459.jpg,,제22대,56,,,,100022,,김용태
김우영.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/40b8f61bbb444b429d9fc87fe4dff506.jpg,,제22대,57,,,,100022,,김우영
김원이.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/dfa2409a04254cf0bdb4ad2f86092099.jpg,,제22대,58,,,,100022,,김원이
김위상.png,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/3b0e41223e344b809f45b64084cde1af.png,,제22대,59,,,,100022,,김위상
김윤.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/e7f6c2e0d06240658849cb82b2e5960e.jpg,,제22대,60,,,,100022,,김윤
