unit,photo_filename,election_method,monaCd,name,photo_url,gender,unitCd,rownum,party,election_count,region,committees
제22대,김민전.jpg,,,김민전,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/d856bf1d1b14476f84af3c07c1ea864e.jpg,,100022,,국민의힘,,,
제22대,김병기.png,,,김병기,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/cbfebf9f86b047648b600a3879b7cfd2.png,,100022,,무소속,,,
제22대,김병주.png,,,김병주,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/2863494ebe84423d91ae48f2fb84b94e.png,,100022,,더불어민주당,,,
제22대,김상욱.jpg,,,김상욱,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/9f4c19508e9b4954a9e69af09737b00c.jpg,,100022,,더불어민주당,,,
제22대,김상훈.jpg,,,김상훈,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/3c232b2892bb448f8d66df3661218621.jpg,,100022,,국민의힘,,,
제22대,김석기.jpg,,,김석기,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/e5a17e900d0e433bb13e351466729064.jpg,,100022,,국민의힘,,,
제22대,김선교.jpg,,,김선교,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/c46ff6eaebc3441393b42d4e36d7a8c6.jpg,,100022,,국민의힘,,,
제22대,김선민.jpg,,,김선민,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/ae483328582e4add9e57312dfdd896a0.jpg,,100022,,조국혁신당,,,
제22대,김성원.jpg,,,김성원,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/0883fdfd169248c19f2311f26e1c2577.jpg,,100022,,국민의힘,,,
제22대,김성환.jpg,,,김성환,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/0513170b1fad49f89f162bdde50c6e4b.jpg,,100022,,더불어민주당,,,
제22대,김성회.jpg,,,김성회,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/b263e390ed2a4a4ea6e789d7447c6093.jpg,,100022,,더불어민주당,,,
제22대,김소희.jpg,,,김소희,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/d742a583478b4cf3b42227cccb6b7e50.jpg,,100022,,국민의힘,,,
제22대,김승수.jpg,,,김승수,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/ed6fa85a063842c59f5cfc4cca90eafb.jpg,,100022,,국민의힘,,,
제22대,김승원.jpg,,,김승원,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/06249610045b4c5487f9586046460423.jpg,,100022,,더불어민주당,,,
제22대,김영배.jpg,,,김영배,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/c0f3221352c04fc1bb9b67d8342c75ff.jpg,,100022,,더불어민주당,,,
제22대,김영진.jpg,,,김영진,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/4a532fc2b0bf46fd81d7d51ea73c61be.jpg,,100022,,더불어민주당,,,
제22대,김영호.png,,,김영호,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/3567968cbf624c2a93cc299e39bee78f.png,,100022,,더불어민주당,,,
제22대,김영환.png,,,김영환,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/8d40913b87064f63bc8f988579103d76.png,,100022,,더불어민주당,,,
제22대,김예지.png,,,김예지,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/60f31aa879394f96a70c17d436618e3c.png,,100022,,국민의힘,,,
제22대,김용만.png,,,김용만,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/06d58e54e7724b3a81f1a82eff0a40af.png,,100022,,더불어민주당,,,
제22대,김용민.png,,,김용민,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/e8f8918e741b4ae9b72377d8ec299645.png,,100022,,더불어민주당,,,
제22대,김용태.jpg,,,김용태,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/ef99cb0a6cee471bb9769a46bc62c459.jpg,,100022,,국민의힘,,,
제22대,김우영.jpg,,,김우영,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/40b8f61bbb444b429d9fc87fe4dff506.jpg,,100022,,더불어민주당,,,
제22대,김원이.jpg,,,김원이,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/dfa2409a04254cf0bdb4ad2f86092099.jpg,,100022,,더불어민주당,,,
제22대,김위상.jpg,,,김위상,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/07d4a29b1eff40818929270b633dca60.jpg,,100022,,국민의힘,,,
제22대,김윤.png,,,김윤,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/fc2eace7308a4cbb8ddd26e79a5d08bd.png,,100022,,더불어민주당,,,
제22대,김윤덕.jpg,,,김윤덕,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/dea1db9948874498ad1aa3a24c7409a3.jpg,,100022,,더불어민주당,,,
제22대,김은혜.jpg,,,김은혜,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/2d0fedee640c4683b571177b2f21e1c2.jpg,,100022,,국민의힘,,,
제22대,김장겸.jpg,,,김장겸,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/51872f0dbc5948d0b7e94700969cf6ec.jpg,,100022,,국민의힘,,,
제22대,김재섭.png,,,김재섭,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/4dda6952ecb54d03a2bfc80764322300.png,,100022,,국민의힘,,,
제22대,김재원.jpg,,,김재원,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/f892da7b219f47db8555860bf05260e3.jpg,,100022,,조국혁신당,,,
제22대,김정재.png,,,김정재,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/82a52130b3cd42949f08c91c95b1bd54.png,,100022,,국민의힘,,,
제22대,김정호.png,,,김정호,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/7d6d00c690814834bdd1fb1c5905a5ef.png,,100022,,더불어민주당,,,
제22대,김종민.png,,,김종민,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/33a7a75a274846b7981941b4c5ea6971.png,,100022,,무소속,,,
제22대,김종양.jpg,,,김종양,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/d552d62c9a174c3e95f785adaeb18ccf.jpg,,100022,,국민의힘,,,
제22대,김주영.jpg,,,김주영,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/a3a36296e15c4c2990676f4047e80a4b.jpg,,100022,,더불어민주당,,,
제22대,김준혁.jpg,,,김준혁,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/7319b4af128146fb93e3d9baa9982383.jpg,,100022,,더불어민주당,,,
제22대,김준형.jpg,,,김준형,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/7e2d7f243fdf4eaba8fb034549668444.jpg,,100022,,조국혁신당,,,
제22대,김태년.jpg,,,김태년,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/f8d696606fc742ec87659bd32ff95ae6.jpg,,100022,,더불어민주당,,,
제22대,김태선.jpg,,,김태선,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/dad545c45b274b35bf2e336bee9b68ed.jpg,,100022,,더불어민주당,,,
제22대,김태호.png,,,김태호,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/f400573a310e49048ac59ffe27438e82.png,,100022,,국민의힘,,,
제22대,김한규.jpg,,,김한규,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/a88775f9492644cabaca88dd09fa9d36.jpg,,100022,,더불어민주당,,,
제22대,김현.jpg,,,김현,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/1f184c9b9ef14a2b999ccf0c4fdd7870.jpg,,100022,,더불어민주당,,,
제22대,김현정.jpg,,,김현정,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/4301a55abe234eafb080864d7b26a27c.jpg,,100022,,더불어민주당,,,
제22대,김형동.jpg,,,김형동,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/a8666f5ad131416fb853f840dc4d66e6.jpg,,100022,,국민의힘,,,
제22대,김희정.jpg,,,김희정,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/b30ba14b467a4303b40bdbceedfdc68c.jpg,,100022,,국민의힘,,,
제22대,나경원.png,,,나경원,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/563d61a4466c42c8be2c4979c00e5060.png,,100022,,국민의힘,,,
제22대,남인순.jpg,,,남인순,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/b265059dddd24f329d9361e3d0f62e4e.jpg,,100022,,더불어민주당,,,
제22대,노종면.jpg,,,노종면,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/4abfcdd3a1e84d28901c894e8c1189fe.jpg,,100022,,더불어민주당,,,
제22대,맹성규.jpg,,,맹성규,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/250f36e411ab4b34bf0eb7fcadfbadf7.jpg,,100022,,더불어민주당,,,
제22대,모경종.jpg,,,모경종,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/776af614628b4030a71734c4634c639e.jpg,,100022,,더불어민주당,,,
제22대,문금주.jpg,,,문금주,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/e1710b2722c74ea79c98bdc53e0425ad.jpg,,100022,,더불어민주당,,,
제22대,문대림.jpg,,,문대림,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/5c44086f31074ae99db902a7fcb4712a.jpg,,100022,,더불어민주당,,,
제22대,문정복.png,,,문정복,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/20e051935a914f069c35c6e00dc22d70.png,,100022,,더불어민주당,,,
제22대,문진석.jpg,,,문진석,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/81cfd832d09349ba95e28a111b700bfc.jpg,,100022,,더불어민주당,,,
제22대,민병덕.jpg,,,민병덕,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/79413446d5564edd90faa2a1b279f9e8.jpg,,100022,,더불어민주당,,,
제22대,민형배.png,,,민형배,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/d8e518134ac540cc8f68fa4655e351df.png,,100022,,더불어민주당,,,
